comment,date,source,category,score
cmmmmm comment boookbaeerkisix loup.boolpourrtteeebupgzrnkumaer,25-06-2024,facebook,Neutral,3
left looks formal,25-06-2024,facebook,Neutral,3
what's the difference both,25-06-2024,facebook,Neutral,3
both of course,25-06-2024,facebook,Neutral,3
i will pick between,21-06-2024,facebook,Neutral,3
can i pick both,21-06-2024,facebook,Neutral,3
both of course,22-06-2024,facebook,Neutral,3
model,25-06-2024,facebook,Neutral,3
can i get xiaomi 13 lite spare parts (body frame). it is necessary for my device.,25-06-2024,facebook,Neutral,3
je choisis celui de droite,21-06-2024,facebook,Neutral,3
i think they are same,25-06-2024,facebook,Neutral,3
कर लिया है,25-06-2024,facebook,Neutral,3
i pick both,25-06-2024,facebook,Neutral,3
price,21-06-2024,facebook,Neutral,3
both is xiaomi both.,21-06-2024,facebook,Neutral,3
i'll take both,21-06-2024,facebook,Neutral,3
what is the difference,25-06-2024,facebook,Neutral,3
شاومي خردة يسخن جهاز وحدو,25-06-2024,facebook,Neutral,3
both,25-06-2024,facebook,Neutral,3
which model,25-06-2024,facebook,Neutral,3
giống mình vãi,25-06-2024,facebook,Neutral,3
kanan,25-06-2024,facebook,Neutral,3
non of both,25-06-2024,facebook,Neutral,3
overpriced item,21-06-2024,facebook,Neutral,3
today i buy a mi 14 pro,25-06-2024,facebook,Neutral,3
ليس لدي المال عندي ريدمي نوت 10 هل يمكنكم اعطائي الذي على اليمين,21-06-2024,facebook,Neutral,3
both are same,21-06-2024,facebook,Neutral,3
left as they say.,25-06-2024,facebook,Neutral,3
اليمين,21-06-2024,facebook,Neutral,3
we are ao inlove with xiaomi,21-06-2024,facebook,Neutral,3
เยี่ยมเล่ยครับ,21-06-2024,facebook,Neutral,3
my name is ashebir,21-06-2024,facebook,Neutral,3
mobile phones,21-06-2024,facebook,Neutral,3
noice,25-06-2024,facebook,Neutral,3
sir tell me about your mi browser,21-06-2024,facebook,Neutral,3
keep up xiaomi.,21-06-2024,facebook,Neutral,3
.,24-06-2024,facebook,Neutral,3
nada zaiter,16-06-2024,facebook,Neutral,3
hi  i am dom from germany,24-06-2024,facebook,Neutral,3
جهاز ريدمى نوت 13 برو بلس غير متوفر فى مصر,24-06-2024,facebook,Neutral,3
xiaomi lo mejor de lo mejor,24-06-2024,facebook,Neutral,3
que se tenga teslaaaaaa,24-06-2024,facebook,Neutral,3
xiaomi,24-06-2024,facebook,Neutral,3
hm is that,25-06-2024,facebook,Neutral,3
xiaomi egypt,25-06-2024,facebook,Neutral,3
chookhiamyap.com redmi watch,25-06-2024,facebook,Neutral,3
i have also xiaomi mi 12 pro phone and it's awsome,24-06-2024,facebook,Neutral,3
tok lihai juak bro,24-06-2024,facebook,Neutral,3
across spain,24-06-2024,facebook,Neutral,3
keren sumpah,24-06-2024,facebook,Neutral,3
seems to be a porsche taycan made by xiaomi,24-06-2024,facebook,Neutral,3
xiaomi is luxury,24-06-2024,facebook,Neutral,3
xiaomi products have quality issue,25-06-2024,facebook,Neutral,3
rest 10 yrs,25-06-2024,facebook,Neutral,3
روعة,25-06-2024,facebook,Neutral,3
barcelona,25-06-2024,facebook,Neutral,3
keren,24-06-2024,facebook,Neutral,3
xiaomi you nailed it thumbs up,24-06-2024,facebook,Neutral,3
انا عندي تلفون xiaomi ولكن بغيت نعرف كيف نعمل نكبر الشاشه الهاتف مالي نمون نتفرج ف الفيديو على الفيسبوك أوعلى يوتوب,24-06-2024,facebook,Neutral,3
it should be gasoline,24-06-2024,facebook,Neutral,3
xiaomi king,24-06-2024,facebook,Neutral,3
su7,24-06-2024,facebook,Neutral,3
my house,24-06-2024,facebook,Neutral,3
gondo,25-06-2024,facebook,Neutral,3
copypaste porsche taycan   can’t make nothing original….,25-06-2024,facebook,Neutral,3
phone r good.....redmi note 13 series,27-01-2024,google,Neutral,3
availability of the devices is good.behavior of staff is excellent.commitment is on priority and delivered product at doorstep...thanks,26-06-2020,google,Neutral,3
ranjeet singh.as such a nyc staff who deal me in his store..excellent work.,27-06-2019,google,Neutral,3
man that catch️,23-06-2024,youtube,Neutral,3
"that ""aliens might have chest hair"" stuff   blown me away",23-06-2024,youtube,Neutral,3
i'm here to contribute nothing to the comment section,23-06-2024,youtube,Neutral,3
let's gooo.thanks man i was waiting for this.,23-06-2024,youtube,Neutral,3
where do i buy the xiaomi 14 ultra im from the us,24-06-2024,youtube,Neutral,3
thinking step up rings are decorative hahah,24-06-2024,youtube,Neutral,3
i was waiting for this video,23-06-2024,youtube,Neutral,3
where do i buy the xiaomi 14 ultra im from the us,24-06-2024,youtube,Neutral,3
thinking step up rings are decorative hahah,24-06-2024,youtube,Neutral,3
i was waiting for this video,23-06-2024,youtube,Neutral,3
a cam comparison of the 2 phones including moon zoom shots would be gr8...,23-06-2024,youtube,Neutral,3
a cam comparison of the 2 phones including moon zoom shots would be gr8...,23-06-2024,youtube,Neutral,3
brother can you make samsung s24 ultra vs google pixel 8 pro,23-06-2024,youtube,Neutral,3
you should make a video about  the different types of keyboard switches,23-06-2024,youtube,Neutral,3
you should make a video about  the different types of keyboard switches,23-06-2024,youtube,Neutral,3
let's go i've been waiting for this,23-06-2024,youtube,Neutral,3
isn’t one of those camera rings you said was just for show actually a threaded filter adapter so you can use photographic filters on the xiaomi,24-06-2024,youtube,Neutral,3
isn’t one of those camera rings you said was just for show actually a threaded filter adapter so you can use photographic filters on the xiaomi,24-06-2024,youtube,Neutral,3
i was waiting for this,23-06-2024,youtube,Neutral,3
what editing software do you use,23-06-2024,youtube,Neutral,3
what editing software do you use,23-06-2024,youtube,Neutral,3
finally someone calling out xiaomis movie mode why can't they add 4k30 on the front and back it would have been my next phone if it only had that.,23-06-2024,youtube,Neutral,3
your box catcher got caught in lens,24-06-2024,youtube,Neutral,3
good. camera is not so good  features speed body is good.,05-06-2024,amazon,Neutral,3
not as expected. it shows 8 gb ram i expected it will not face lagging issue i just used for two days and its not at its expectation,20-06-2024,amazon,Neutral,3
sound volume low. i have used redmi 9 power before and this phone has also low sound unable to hear ringtone in busy road.,05-06-2024,amazon,Neutral,3
voice not clarity. poor signals catching. model and camera gud.signal catching poorvoice problem,20-06-2024,amazon,Neutral,3
good. good product nice hand set thank you,19-06-2024,amazon,Neutral,3
camera not upto expectation. camera not good,11-06-2024,amazon,Neutral,3
average phone..processor too slow.. processor too slow,22-06-2024,amazon,Neutral,3
"no guide book inside box.the seller didn't give info about product. not satisfied because the seller didn't give brochure or guide book.even buttons in the cell phone not known to the customer.the seller gave some box mentioning 8 gb ram 128 gb volume. the box is not relevant to selling item.  no guide bookno brochurehow to stathe phone..amazon  has to re think to give order to ""darshita assiyana pvt ltdchettipalayamcoimbatore.""basic sense of backing not available. i think they have sold very old stock.existing cell send to customer",30-04-2024,amazon,Neutral,3
"i m fed up with this.. if you can see the uploded screenshot their is promt"" press again to exit"". the prompt is normal however it remains on the screen for very long time. similar promot or notification appers while using many other apps and it literally covers screen. especially keyboard. can anybody explain what kind of notification is this and how to get rid of it",08-05-2024,amazon,Neutral,3
my opionion is 5050. these mobiles consumes more memory  and heats very well and slow charge because of 18w charger,02-06-2024,amazon,Neutral,3
not good. last december i purchase the phone.till the february the call recording app was not working.,06-05-2024,amazon,Neutral,3
good product. did not receive fast charger. only received normal charger,04-06-2024,amazon,Neutral,3
value of money. low display quality,01-06-2024,amazon,Neutral,3
overheats a lot...... the overall phone design and appearance looks perfect but the most important and frustrating thing is it's problem of overheating just after using it for 3040 mins.... i also experienced a bit of framedrops while watching yt and the screen laggs often.,06-05-2024,amazon,Neutral,3
finally watching your 14 ultra video...i've been waiting for this video for a long time...,23-06-2024,youtube,Negative,2.98
finally watching your 14 ultra video...i've been waiting for this video for a long time...,23-06-2024,youtube,Negative,2.98
i have been thinking about getting the zenfone 10 and now im gonna get the xaomi thank you mrwhosetheboss ive been watching your videos for aout 7 years now and its crazy how you went from so quiet to so open so quickly keep it up,23-06-2024,youtube,Negative,2.96
i cant feel my legs because i sat to too long on the toilet,23-06-2024,youtube,Negative,2.96
how come they give you a non working television when it got stamped qc tested. took me 14 days to get a replacement. plus the picture quality is not that great... better to go for samsung or sony. i will not recommend it a bit. customer care is hopeless and clueless,26-06-2020,google,Negative,2.94
xiaomi in 2024 deliberately disabled millions of smartphones with an update to the hyper os operating system,22-06-2024,facebook,Negative,2.8
i have the a15 5g and im ngl within a few seconds you pointed out somethings i never knew/payed attention to on my phone.,23-06-2024,youtube,Negative,2.8
what almost seems hypocritical is we all are ok with being the product for the biggest advertising company (google) and facebook but we crib about some other other company that shows you ads but also gives you the option to turn them off. anyway if you are buying a xiaomi product (including redmi poco) none of these chinese apps come preinstalled. instead you get a lot of american bloatware that cannot be u installed like google one google home google drive google health connect (beta) netflix walmaphonepe facebook. even the nifty mi dialer has been replaced with google dialer in some models. google messages come preinstalled along with mi message.and there is no way you can get rid of them unless you install a different rom.,23-06-2024,youtube,Negative,2.76
what almost seems hypocritical is we all are ok with being the product for the biggest advertising company (google) and facebook but we crib about some other other company that shows you ads but also gives you the option to turn them off. anyway if you are buying a xiaomi product (including redmi poco) none of these chinese apps come preinstalled. instead you get a lot of american bloatware that cannot be u installed like google one google home google drive google health connect (beta) netflix walmaphonepe facebook. even the nifty mi dialer has been replaced with google dialer in some models. google messages come preinstalled along with mi message.and there is no way you can get rid of them unless you install a different rom.,23-06-2024,youtube,Negative,2.76
does it have screen not responding problems because that's why i haven't bought a new xiaomi phone again my current one is frustrating.,23-06-2024,facebook,Negative,2.74
still limited to xiaomi 14 (ultra) only or not,23-06-2024,facebook,Negative,2.74
the new rom is not capable with ui and systems operation,25-06-2024,facebook,Negative,2.72
bro just pissed off the mi in the entire video and gave all the cool details at the last minute by giving no points to it,23-06-2024,youtube,Negative,2.72
bro just pissed off the mi in the entire video and gave all the cool details at the last minute by giving no points to it,23-06-2024,youtube,Negative,2.72
i might be bias here but the suppoi've received from xiaomi for example with unlocking the bootloader out weighs the a lot of the down sides with their device.  sent from redmi note 9t.awesome video stay epic.edit in south africa (where i live) samsung suppois usually done by the mobile service providers which does not rank well globally.  where as xiaomi suppois usually handled by xiaomi.  which would confirm the difference as the service providers does not really care about the phone's brand.  i don't think this is subjective rather just a limited experience. thanks for the replies hope which ever device you are using or looking to use serves you well.,23-06-2024,youtube,Negative,2.72
i might be bias here but the suppoi've received from xiaomi for example with unlocking the bootloader out weighs the a lot of the down sides with their device.  sent from redmi note 9t.awesome video stay epic.edit in south africa (where i live) samsung suppois usually done by the mobile service providers which does not rank well globally.  where as xiaomi suppois usually handled by xiaomi.  which would confirm the difference as the service providers does not really care about the phone's brand.  i don't think this is subjective rather just a limited experience. thanks for the replies hope which ever device you are using or looking to use serves you well.,23-06-2024,youtube,Negative,2.72
next stop mwc24,25-06-2024,facebook,Negative,2.7
i have installed  version update in my mobile redmi note 11 pro plus after that the sound of calling speaker has become very low and dual speaker is also not working.. please give any suggestion for this.,25-06-2024,facebook,Negative,2.68
xiaomi 14 lite delay,23-06-2024,facebook,Negative,2.68
on two different occasions the xiaomi displays your jacket in two different tonesfirst black (while s24u depicts it navy blue ) and later it is navy blue.so no the software isn't there yet.,24-06-2024,youtube,Negative,2.68
my mobile redmi note 13 4g incoming call after display on.. but incoming call running time lock screen time cover after display off. proximity sensor not work  please give any suggestion for this.,25-06-2024,facebook,Negative,2.66
so no android ,23-06-2024,facebook,Negative,2.64
hi mrwhosetheboss i have been wondering if you could make a video of laptops brand fighting asus msi and lenovo,23-06-2024,youtube,Negative,2.64
hi mrwhosetheboss i have been wondering if you could make a video of laptops brand fighting asus msi and lenovo,23-06-2024,youtube,Negative,2.64
i do not advise anyone to buy xiaomi phones because they have many problems. my phone stopped working for no reason and when i inquired about the reason they told me that it was a problem with the processor. this problem is from the company and happe…,25-06-2024,facebook,Negative,2.62
those problems are all fixable from setting  i didn't expect this from you a a ron,23-06-2024,youtube,Negative,2.6
those problems are all fixable from setting  i didn't expect this from you a a ron,23-06-2024,youtube,Negative,2.6
what they guy behind you doing on the ground,23-06-2024,youtube,Negative,2.6
what they guy behind you doing on the ground,23-06-2024,youtube,Negative,2.6
bro would not have this whole trouble if he just turned off '2' toggles while setting the phone for the first time which is already disabled by default in global variant of the same smartphone,23-06-2024,youtube,Negative,2.6
that drop down menu in the stais legit an apple copy and im not even a fanboy of apple,23-06-2024,youtube,Negative,2.58
arun's getting more crazy daily  he be dropping phones as if its a peice of cake..,23-06-2024,youtube,Negative,2.56
arun's getting more crazy daily  he be dropping phones as if its a peice of cake..,23-06-2024,youtube,Negative,2.56
good but not best,26-04-2024,google,Negative,2.54
went to buy robot vacuum mop but their demo model was faulty 😂 …,26-06-2022,google,Negative,2.54
worst service. they haven't come for installation. neither have they delivered the free speaker,26-06-2022,google,Negative,2.5
it's still crazy how expensive peripherals like case and screen protectors are over there,23-06-2024,youtube,Negative,2.48
it's still crazy how expensive peripherals like case and screen protectors are over there,23-06-2024,youtube,Negative,2.48
khit ano po left or right...i luv xiaomi.any device.can i have one of them..for gift.thank.and godbless..,21-06-2024,facebook,Negative,2.44
i hate when companies can’t come up with original names.,23-06-2024,youtube,Negative,2.44
i hate when companies can’t come up with original names.,23-06-2024,youtube,Negative,2.44
problem is still politics in europe why chinese ev cars are not much sold spec.here in sweden what is the problem with chinese ev cars byd xpeng and fue others got 5 stars in euroncap safety test full points problem is politics in europe because they…,24-06-2024,facebook,Negative,2.42
what voodoo is that damn near broke my brain,23-06-2024,youtube,Negative,2.42
no problem both are niiiiiiiiccccccceeeeeeeee,21-06-2024,facebook,Negative,2.4
i'm really not sure about some of the software issues. did you allow some weird website to send you notification while using the browser and did you opt into lockscreen during suw because i have none of those on my phone.,23-06-2024,youtube,Negative,2.36
i'm really not sure about some of the software issues. did you allow some weird website to send you notification while using the browser and did you opt into lockscreen during suw because i have none of those on my phone.,23-06-2024,youtube,Negative,2.36
sales personnel was not interested in selling . very cold response. that's why mi market is going down .,31-07-2023,google,Negative,2.34
i mean i always shoot in 1920x1080,23-06-2024,youtube,Negative,2.34
the road you have walked will become the scenery in your memories all your experiences will become your wealth the burdens you once had will become your gifts the suffering you have suffered will illuminate your future path.,24-06-2024,facebook,Negative,2.32
this is the worst mobile ever you will regret it after buying it so it is better to avoid it because i am using note 13 and it hangs many times,21-06-2024,facebook,Negative,2.28
this tablet have a problem with the game fortnite,24-06-2024,facebook,Negative,2.2
still putting ads in a premium flagship phone is almost criminal.,23-06-2024,youtube,Negative,2.2
the store is well maintained but the staff is highly unprofessional and rude in behaviour.i just visited the store with intent to buy a new mobile phone and a tv  but …,26-06-2020,google,Negative,2.14
useless making tablets without pen making tablets without a sim connectivity.,25-06-2024,facebook,Negative,2.08
may be mi will be good but they give's worst installation service just only because that's free. if you guys going to buy mi product then call any private man for installation because mi service's is worst in comparison to any other. they only can gives excuses to their customer.,26-06-2020,google,Negative,2.08
very rude behavior they don't know how to deal customers. only misbehaving,26-06-2022,google,Negative,2.08
there is a negative sales here they want to sell mobile what they want  they manipulate the customer by saying negative feedback for particular model or not in stock,27-06-2019,google,Negative,2.08
i have given two stars less. because the staff does not show any interest to their customers and have very dull behavior.,26-06-2021,google,Negative,2.06
post mi 10 note all phones hav defective os full of bugs it hangs a lot also so many mistakes in os .. no one to suppoin india .. no replacemnt or retuns .. worst cameras,23-06-2024,facebook,Negative,2.02
bad services. staff is very arrogant. they just try to lure you to buy products and as soon as you bought something and got any issue they will not entertain you. …,26-06-2020,google,Negative,1.92
i've been watching your videos since 201920 and the improvements are insane,23-06-2024,youtube,Negative,1.9
i've been watching your videos since 201920 and the improvements are insane,23-06-2024,youtube,Negative,1.9
very rude lack of knowledge staff. they do mistake and later blame customer. not ready to accept their fault. when ask for manager number  cut the call.,26-06-2021,google,Negative,1.88
bad experience,26-02-2024,google,Negative,1.76
worst experience of customer suppofrom the persons available at the store. they deny their commitmenta. worst way to talk to customers.,26-06-2021,google,Negative,1.58
useless and pathetic brand and service even after 1 year xiaomi mi 11 lite  mobile phone stopped working service centers don't care to solve this problem.  my brother has the same problem,25-06-2024,facebook,Negative,1.54
horrible hyperos,23-06-2024,facebook,Negative,1.46
worst behaviour........cash counter people...... gossips to customer .....very bad experience.staff looks educated but are very rude and should learn the way to talk. …,26-06-2021,google,Negative,1.44
useless  and pathetic brand and serviceeven after 1 year xiaomi 11t mobile phone has stopped  workingand service  centers doesn't bother  to  solve this problem.,23-06-2024,facebook,Negative,1.38
lots of complaints this must be a terrible product indeed.,23-06-2024,facebook,Negative,1.3
